id,publication title
1,Evaluation of soybean (Glycine max L.) adaptation to northern European regions under different agro-climatic scenarios
2,Evaluation of the DSSAT-CSM for simulating yield and soil organic C and N of a long-term maize and wheat rotation experiment in the Loess Plateau of Northwestern China
3,Evaluation of the FAO AquaCrop model for winter wheat on the North China Plain under deficit irrigation from field experiment to regional yield simulation
4,Long-term wheat response to nitrogen in a rainfed Mediterranean environment: Field data and simulation analysis
5,Simulation of winter wheat response to variable sowing dates and densities in a high-yielding environment
6,Simulation of climate change impacts on production and phenology of durum wheat in Mediterranean environments using CERES-Wheat model
7,Patterns of tillering and grain production of winter wheat at a wide range of plant densities
8,"Differences in grain growth, crop photosynthesis and distribution of assimilates between a semi-dwarf and a standard cultivar of winter wheat"
9,Analysis and modeling of cover crop emergence: Accuracy of a static model and the dynamic STICS soil-crop model
10,Assessing crop model improvements through comparison of sorghum (sorghum bicolor L. moench) simulation models: A case study of West African varieties
11,Assessment of maize growth and yield using crop models under present and future climate in southwestern Ethiopia
12,Assimilating leaf area index data into a sugarcane process-based crop model for improving yield estimation
13,Estimation of available water capacity components of two-layered soils using crop model inversion: Effect of crop type and water regime
14,Evaluation of land surface model simulations of evapotranspiration over a 12-year crop succession: impact of soil hydraulic and vegetation proporties
15,"Field experimentation based simulation of yield response of maize crop to deficit irrigation using AquaCrop model, Arba Minch, Ethiopia"
16,Field-scale calibration of crop-yield parameters in the Soil and Water Assessment Tool (SWAT)
17,Integrated management of irrigation water and fertilizers for wheat crop using field experiments and simulation modeling
18,Effects of elevated CO2 and drought on wheat: testing crop simulation models for different experimental and climatic conditions
19,Inter-comparision of performance of soybean crop simulation models and their ensemble in southern Brazil
20,Performance evaluation of AquaCrop model for maize crop in a semi-arid environment
21,Simulating soil fertility management effects on crop yield and soil nitrogen dynamics in field trials under organic farming in Europe
22,Crop model and weather data generation evaluation for conservation agriculture in Ethiopia
23,"Projecting maize yield under local-scale climate change scenarios using crop models: Sensitivity to sowing dates, cultivar, and nitrogen fertilizer rates"
24,Do soil organic carbon levels affect potential yields and nitrogen use efficiency? An analysis of winter wheat and spring barley field trials
25,Grain yield of winter feed wheat in response to sowing date and sowing rate
26,How does STICS crop model simulate crop growth and productivity under shade conditions?
27,"Long term effects of tillage practices and N fertilization in rainfed Mediterranean cropping systems: durum wheat, sunflower and maize grain yield"
28,Wheat Growth Response to Increased Temperature from Varied Planting Dates and Supplemental Infrared Heating
29,Parameterization of a crop growth and development simulation model at sub-model components level. An example for winter wheat (Triticum aestivum L.)
30,Evaluation of the ability of the crop model STICS to recommend nitrogen fertilisation rates according to agro-environmental criteria
31,Modelling of crop yields and N2O emissions from silty arable soils with differing tillage in two long-term experiments
32,Short-lived effects of walnut shell biochar on soils and crop yields in a long-term field experiment
33,The first calibration and evaluation of the STICS soil-crop model on chickpea-based intercropping system under Mediterranean conditions
34,Using crop simulation model to evaluate influence of water management practices and multiple cropping systems on crop yields: A case study for Ethiopian highlands
35,Using the DSSAT-CERES-Maize model to simulate crop yield and nitrogen cycling in fields under long-term continuous maize production
36,"Response of wheat growth, grain yield and water use to elevated CO2 under a Free-Air CO2 Enrichment (FACE) experiment and modelling in a semi-arid environment"
37,Simulating medium-term effects of cropping system diversification on soil fertility and crop productivity in southern Africa
38,"Winter barley grown in a long-term field trial with a large variation in N supply: Grain yield, yield components, protein concentration and their trends"
39,Productivity and Water use of Wheat under free-air CO2 enrichment
40,Free-air CO2 enrichment and soil nitrogen effects on energy balance and evapotranspiration of wheat
41,"Using Leaf Area Index, retrieved from optical imagery, in the STICS crop model for predicting yield and biomass of field crops"
42,Narrowing crop yield gaps in Ethiopia under current and future climate: A model-based exploration of intensification options and their trade-offs with the water balance
43,Multi-model evaluation of phenology prediction for wheat in Australia
44,On the number of experiments required to calibrate a cultivar in a crop model: The case of CROPGRO-soybean
45,Quantifying uncertainty in crop model predictions due to the uncertainty in the observations used for calibration
46,Assessing the cover crop effect on soil hydraulic properties by inverse modelling in a 10-year field trial
47,Controlled release urea improved crop yields and mitigated nitrate leaching under cotton-garlic intercropping system in a 4-year field trial
48,Novel carbon capture-based organo-mineral fertilisers show comparable yields and impacts on soil health to mineral fertiliser across two cereal crop field trials in Eastern England
49,The distribution of water and nitrogen in the soil-crop system: a simulation study with validation from a winter wheat field trial
50,Hybrid-maize—a maize simulation model that combines two crop modeling approaches
51,Adaptation strategies for winter wheat production at farmer fields under a changing climate: Employing crop and multiple global climate models
52,Carbon dioxide enrichment and irrigation effects on wheat evapotranspiration and water use efficiency
53,combining high grain number and weight through a DH-population to improve grain yield potential of wheat in high-yielding environments
54,Effects of crop residue management on winter durum wheat productivity in a long term experiment in Southern Italy
55,Elevated CO2 alters grain quality of two bread wheat cultivars grown under different environmental conditions
